uniq_id,job_title,company_name,city,category,job_type,post_date,salary_offered,inferred_salary_from,inferred_salary_to,inferred_salary_currency,inferred_min_experience,inferred_max_experience,job_description,is_remote,average_salary,experience_required,work_mode,has_python,has_sql,has_java,has_javascript,has_react,has_aws,has_azure,has_docker,has_git,has_power_bi,has_excel,has_cpp,has_csharp,has_machine_learning,has_ai,has_tensorflow,has_pandas,has_numpy,has_spark,has_hadoop
1bd922139e0817039b660bde351a9e9d,Voice & Accent Trainer,Hexaware Technologies,Nagpur,Training,fulltime,2023-11-01,₹ 600000-700000,600000,700000,INR,2,3,"Job Description Voice & Accent Trainer Requirements: Developing and implementing training programs that are aligned with business objectives, including design and development of curriculum, materials, and assessmentsPresenting training sessions that are engaging and interactive to help participants retain informationConducting needs assessments to understand what employees already know and what they need to learn nextMeasuring the effectiveness of training programs by conducting evaluations with participants and managers after a course has been completedCoordinating with other members of the organizations training department to develop and deliver training programsProviding individualized instruction to employees who need help mastering new skills or improving existing skills in order to perform their jobs more effectivelyCreating resources to support learning objectives such as handouts, workbooks, PowerPoint presentations, videos, or podcastsLeading group discussions and providing guidance on effective communication skills to increase productivity and efficiency within a team or organizationConducting training sessions in person or online using web conferencing tools such as Microsoft TeamsSkills: Education: GraduateMust be aware of Voice & Accent TrainerExperience required: 4-5 years in Training.Minimum 1+ year as Voice & Accent TrainerExcellent Oral & Written communicationConfident, articulate, and professional speaking abilities (and experience) Location: NagpurInterested candidates can share CV to tejalm@hexaware.com ",False,650000.0,2-3 Years,On-site,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
f60239100c0e8a4aa910791e06396b13,Systems Architect,Headhunter,Pune,Other,fulltime,2023-11-01,₹ 1000000-2000000,1000000,2000000,INR,4,6," Global Shared Services Center  Systems Architect Job Purpose Our Client Shared Services Center is looking for a highly motivated individual to provide systems design and support and potentially to additional regions at later date.  This position requires a proactive and dynamic person with solutions development experience in the legal and finance realms. In addition, experience in leveraging the full Microsoft Stack to provide solutions for a variety of business requirements is necessary. A strong interest and ability to learn new systems and continuous improvement is a must, as well as sufficient soft skills necessary to interact appropriately and effectively with the different members of the Law Department and other parties involved in the assigned activities. One of the main responsibilities of this role is to design/manage/troubleshoot our in-house matter management system, LOIS. Responsibilities Define, develop, and refine business processes involving legal department workgroups (Litigation, L&E, M&A,etc) as well groups outside legal (Finance, QA, Product Analysis, Risk Management) which leverage our investments in LOIS (Office 365, Microsoft SQL, .Net, Power Platform, DevOps, Azure, SQL Reporting Services (SSRS)).Provide system administration support for bill processing and matter management. Provide LOIS orientation and training for new teammates. Create and modify existing reports for Legal, Risk Management, Global Legal OpsWork with outside counsel on submitting invoices electronically.Submit help desk tickets for issues involving the department and provide general help desk assistance. Requirements & Qualifications Expertise in:.Net Winform development using VB.NET and C#Relation Database Design using Microsoft SQL Server, Transact SQLSharepoint integration using CSOM- preferred , not a must Web UI/UX, AngularJS, Bootstrap, Power Automate, Power Apps.Excel AutomationSQL Reporting Services (SSRS)Microsoft 365Basic accounting skills. Fluent in English and able to communicate clearly across all levels of the organizationDetail-oriented, self-motivated, proactive & hardworking.Ability to listen, anticipate, troubleshootProven ability to meet deadlines and adapt to changing prioriti",False,1500000.0,4-6 Years,On-site,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False
65a20c7e97e1b6cf306c7c77b98ff472,Business Development Manager/Branch Manager - Mahindra Finance Broking,Excelvana,"Vadodara,Nagpur,Kolhapur,Ahmedabad,Surat,Dhule",Retail Sales,fulltime,2023-11-01,₹ 225000-500000,225000,500000,INR,2,7,"Duties & ResponsibilitiesBranch Revenue and ProfitabilityBranch ComplianceBranch Engagement and Marketing activitiesBranch Service LevelsHire, train and monitor the performance of branch membersWhatsapp me -Required Candidate profile Should have strong background of Health and Life InsurancePreferably should have broker license.Preferably Team handling experience.Knowledge for brand promotion and marketing activities",False,362500.0,2-7 Years,On-site,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
bad5309d3094a1e48802aa5ee08cbdee,Hexaware Walk-in For Automation Selenium testing Nov 4th- Pune-,Hexaware Technologies,Pune,Programming & Design,fulltime,2023-11-01,₹ 1300000-2000000,1300000,2000000,INR,10,17," Hello Connections! Greetings from Hexaware Technologies, We are conducting Drive on Saturday 4th Nov 2023 for Automation Testing skillset for our  Pune Location. Job Description: Experience in Automation Testing- Selenium, Strong foundation in systems testing and software QA best practices, methodologies, and techniques. Expertise in Selenium, java, Cucumber BDD and Test NG. Experience with Enterprise bug tracking systems such as JIRA, Confluence Ability to design and develop a structured framework. Good exposure in SQL queries Good English communication skill Exp : 3.5 to 15 yrs. Venue Details:  Hexaware Technologies Ltd Phase 3, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057 Interview Date : 4th Nov 23 Interview Time : 9.00 Am to 12.00 PM SPOC : SUDHA K Please walk-in to above location directly or share your profile with details to sudhak4@Hexaware.com Regards, Sudha K ",False,1650000.0,10-17 Years,On-site,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
24f57430ef74621ceb1fd7a2a21de949,Service engineer Service Operation,Vertiv Energy,"Thane,Ahmedabad",Other,fulltime,2023-11-01,₹ 350000-600000,350000,600000,INR,3,6," Position Service engineer Service Operation (01 Position)   Location Morbi/Rajkot , Gujrat & Thane , Maharashtra   Experience 4-5 Years as a service engineer   CTC    Qualifications B.E./Diploma/Graduate (electronics/ electrical/EC)     Roles and Responsibilities Should be good in Customer Relationship Management   Good Liaison between Internal and External Customer   Sound knowledge on UPS and Batteries product   Proven work experience as a service engineer or similar role   Willingly to travel within a Gujarat and ready to response 24x7 to customer   Good communication and interpersonal skills   Stay up to date with services, policies, and regulations PM Job as per assign Commissioning Job as per assignBreakdown call attend as per scheduleInventory tracking strong Internal and external communicationRequired to achieve the define KRA  Current Job responsibilities   Technical Skills & Product Knowledge Sound knowledge of UPS, Batteries   Industry Power  ",False,475000.0,3-6 Years,On-site,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8434dd646e45e06f85da780859ceac4a,UK Accountants To Manager UK Accounts,Zenith Services,Ahmedabad,Accounts,fulltime,2023-11-01,₹ 500000-1200000,500000,1200000,INR,2,7,"Working on UK yearend & Book keeping accounts on FRS 102 (1A) and FRS 105,UK BK, VAT & management accounts, liaising with the clients via emails, phone calls/teams meetings. Handing Team.Required Candidate profile ACCA/CA/M com/Semi qualified with knowledge of IFRS, good command over English with experience in UK accounting & client relationships. Should have worked on Xero, QB & IRIS, CC/ CaseWare.,software",False,850000.0,2-7 Years,On-site,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2914bbceacaf424653fcaacbfe4ce4de,Associate - Operations,Mahindra Logistics,Haridwar,Other,fulltime,2023-10-31,₹ 200000-400000,200000,400000,INR,2,3,Receipt and dispatch operation knowledge  SAP knowledge  MS office  Good Communication  Material Receiving operation  ,False,300000.0,2-3 Years,On-site,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
536abacef4101888833821ce7e0151a1,Relationship Manager- Home LOANS [BFSI],Serving Skill,Mumbai,Corporate Banking,fulltime,2023-11-01,₹ 300000-800000,300000,800000,INR,1,5,1- Responsible for empanelment of channel and acquiring the customers for Home Loan and Loan Against Property from open market and developer relationships and from DSA's.2- Responsible for ensuring the adherence of KYC documents as per the guidelines by the company3- Responsible for achieving the cross-sell targets from the Home Loan customers like insurance or any other appropriate product which may come up from time to time.4- Responsible for ensuring the proper completion of the files within timeline as per the company checklist.5- Disbursement Value and numbers6- Insurance cross-sell,False,550000.0,1-5 Years,On-site,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
76b69f445d6d0f88cbb0ad2253cd1fde,LMS Specialist,Zell Education,Mumbai Suburbs,Back Office/Web/Transaction Processing,fulltime,2023-11-01,₹ 300000-425000,300000,425000,INR,1,4,"We are seeking an LMS Specialist responsible for ensuring smooth operations like user account management, enrollment, content updates, troubleshooting, report generation, vendor coordination, and gap identification with strategic resolution.Required Candidate profile - Candidates with a minimum of a year of experience handling a Learning Management System (LMS) - Excellent organizational and interpersonal skillsPerks and benefits Provident Fund & Sodexo",False,362500.0,1-4 Years,On-site,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
fd74dc313d614b0c2412616700becc11,Tcs is Hiring Fresher Graduates For Indore/Mumbai Location,Tata Consultancy Services (TCS),"Indore,Mumbai ,All Areas,",Other,fulltime,2023-11-01,₹ 100000-250000,100000,250000,INR,0,0,"Greeting from TCS!!!  TCS Hiring for Fresher Graduates  Job Description: Ability to Perform effectively in a team environment with General supervisionBasic Data Entry SkillsPositive attitude and Strong Work ethicsBasic Written and verbal communication skillsBasic knowledge of Open Office/MS Office Word and ExcelEligibility: Full Time Graduates from B. Com, BA, BAF, BBI, BBA, BBM, BMS, BSc (Maths, Physics, Chemistry, Botany, Zoology) 2021/2022/2023 Year of Passing candidates. Candidates should be comfortable working in 24 x 7 work environment in rotational night shifts depending on the project requirements.  ",False,175000.0,0-0 Years,On-site,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
